latitud,longitud,tecnologia,mcc,operador,net,lac,cellid,cobertura,fecha,id
-17.37956,-66.166,UMTS,736,Tigo,3,37800,7237018,1000,2019-02-17 09:32:23+00:00,151588
-17.383125,-66.155869,GSM,736,Tigo,3,27461,14079,1000,2019-02-15 18:05:31+00:00,151587
-17.388174,-66.154869,GSM,736,Tigo,3,27461,34210,1000,2019-02-15 14:56:27+00:00,151586
-17.386551,-66.155624,LTE,736,Tigo,3,47461,20558852,1000,2019-02-14 19:34:55+00:00,151585
-17.392525,-66.147219,UMTS,736,Tigo,3,37800,7247994,1000,2019-07-17 07:53:09+00:00,151584
-17.392434,-66.147634,UMTS,736,Tigo,3,37800,7236994,1000,2019-07-17 08:07:56+00:00,151583
-17.393407,-66.145393,UMTS,736,Tigo,3,37800,7247242,1000,2019-03-08 09:12:22+00:00,151582
-17.394568,-66.148377,UMTS,736,Tigo,3,37800,7226965,1000,2019-05-31 17:54:54+00:00,151581
-17.386675,-66.168995,UMTS,736,Tigo,3,37800,7237972,2922,2019-02-17 13:54:03+00:00,151580
-17.388079,-66.136749,UMTS,736,Tigo,3,37800,7237233,2411,2019-06-07 09:51:47+00:00,151579
-17.394548,-66.151761,UMTS,736,Tigo,3,37800,7248073,1000,2019-05-15 11:34:59+00:00,151578
-17.38781,-66.169601,UMTS,736,Tigo,3,37800,7227019,3063,2019-02-17 13:54:03+00:00,151577
-17.380253,-66.142024,UMTS,736,Tigo,3,37800,7237111,1212,2019-03-02 08:53:22+00:00,151576
-17.381411,-66.156654,UMTS,736,Tigo,3,37800,7262968,3275,2019-07-27 11:29:19+00:00,151575
-17.382569,-66.152973,UMTS,736,Tigo,3,37800,7247111,2416,2019-07-27 11:28:11+00:00,151574
-17.378095,-66.166057,UMTS,736,Tigo,3,37800,7227018,1838,2019-07-14 19:27:03+00:00,151573
-17.386065,-66.158545,UMTS,736,Tigo,3,37800,7247027,2691,2019-08-03 20:19:21+00:00,151572
-17.388485,-66.15494,UMTS,736,Tigo,3,37800,7247170,1000,2019-08-09 13:06:42+00:00,151571
-17.389677,-66.156189,GSM,736,Tigo,3,27461,14003,1000,2019-01-31 12:39:42+00:00,151570
-17.386992,-66.155642,GSM,736,Tigo,3,27461,34079,1000,2019-02-15 18:05:31+00:00,151569
-17.389742,-66.154622,GSM,736,Tigo,3,27461,34078,1000,2019-04-12 17:50:17+00:00,151568
-17.386074,-66.158506,UMTS,736,Tigo,3,37800,7248027,2688,2019-08-03 20:19:21+00:00,151567
-17.388346,-66.155585,UMTS,736,Tigo,3,37800,7263027,1000,2019-08-02 17:39:12+00:00,151566
-17.38853,-66.155816,UMTS,736,Tigo,3,37800,7237027,1000,2019-08-02 17:39:12+00:00,151565
-17.389371,-66.155371,UMTS,736,Tigo,3,37800,7247038,1000,2019-08-02 17:40:10+00:00,151564
-17.389802,-66.15742,UMTS,736,Tigo,3,37800,7226963,1000,2019-03-08 16:53:35+00:00,151563
-17.391961,-66.153877,LTE,736,Tigo,3,47461,20499972,1000,2019-04-12 17:50:27+00:00,151562
-17.393843,-66.13712,LTE,736,Tigo,3,47461,20530949,2747,2019-04-14 12:53:28+00:00,151561
-17.388626,-66.136742,UMTS,736,Tigo,3,37800,7253085,1000,2019-01-19 08:46:14+00:00,151560
-17.388626,-66.136742,LTE,736,Tigo,3,47451,20502021,1000,2019-01-19 08:46:24+00:00,151559
-17.388626,-66.136742,UMTS,736,Tigo,3,37800,7228085,1000,2019-01-19 08:45:59+00:00,151558
-17.391662,-66.138257,LTE,736,Tigo,3,47461,20530950,1000,2019-04-14 12:52:29+00:00,151557
-17.385238,-66.146347,UMTS,736,Tigo,3,37800,7238012,1000,2019-02-13 11:23:36+00:00,151556
